codigo_ocorrencia,codigo_ocorrencia1,codigo_ocorrencia2,codigo_ocorrencia4,ocorrencia_classificacao,ocorrencia_cidade,ocorrencia_uf,ocorrencia_aerodromo,ocorrencia_dia,ocorrencia_hora,investigacao_aeronave_liberada,investigacao_status,divulgacao_relatorio_numero,divulgacao_relatorio_publicado,divulgacao_dia_publicacao,outras,
51011,51011,51011,51011,ACIDENTE,AQUIRAZ,CE,****,03/05/2014,15:30:00,SIM,FINALIZADA,A-091/CENIPA/2014,SIM,2018-05-17,,
51437,51437,51437,51437,INCIDENTE GRAVE,TAUBATÉ,SP,****,03/05/2014,14:50:00,***,NULL,NULL,NÃO,NULL,,
51444,51444,51444,51444,INCIDENTE GRAVE,MARABÁ,PA,SBMA,03/05/2014,19:02:00,SIM,FINALIZADA,IG-092/CENIPA/2014,SIM,2017-02-06,,
51347,51347,51347,51347,INCIDENTE,DIADEMA,SP,****,04/05/2014,16:00:00,***,FINALIZADA,***,NÃO,NULL,,
51569,51569,51569,51569,INCIDENTE,SÃO JOSÉ DOS CAMPOS,SP,SBSJ,04/05/2014,16:16:00,***,FINALIZADA,***,NÃO,NULL,,
51459,51459,51459,51459,INCIDENTE,PORTO ALEGRE,RS,SBPA,05/05/2014,16:55:00,***,FINALIZADA,***,NÃO,NULL,,
51460,51460,51460,51460,INCIDENTE,BRASÍLIA,DF,SBBR,07/05/2014,20:09:00,***,FINALIZADA,***,NÃO,NULL,,
51417,51417,51417,51417,INCIDENTE GRAVE,SÃO PAULO,SP,SBMT,08/05/2014,11:27:00,SIM,FINALIZADA,093-IG/CENIPA/2014,NÃO,NULL,,
51461,51461,51461,51461,INCIDENTE,BELO HORIZONTE,MG,SBBH,08/05/2014,22:55:00,***,FINALIZADA,***,NÃO,NULL,,
51445,51445,51445,51445,INCIDENTE GRAVE,CARAZINHO,RS,SSKZ,09/05/2014,16:05:00,SIM,FINALIZADA,IG-094/CENIPA/2014,SIM,2015-03-06,,
51446,51446,51446,51446,INCIDENTE GRAVE,JATAÍ,GO,SWJW,09/05/2014,13:30:00,SIM,FINALIZADA,IG-095/CENIPA/2014,SIM,2015-04-30,,
51451,51451,51451,51451,INCIDENTE,ALTAMIRA,PA,SBHT,09/05/2014,12:49:00,***,FINALIZADA,***,NÃO,NULL,,
51462,51462,51462,51462,INCIDENTE,RIO DE JANEIRO,RJ,SBJR,09/05/2014,00:02:00,***,FINALIZADA,***,NÃO,NULL,,
51463,51463,51463,51463,INCIDENTE,GOIÂNIA,GO,SBGO,09/05/2014,17:50:00,***,FINALIZADA,***,NÃO,NULL,,
51394,51394,51394,51394,ACIDENTE,FOZ DO IGUAÇU,PR,****,10/05/2014,20:00:00,SIM,FINALIZADA,A-097/CENIPA/2014,SIM,2015-06-06,,
51412,51412,51412,51412,ACIDENTE,CACHOEIRA DO SUL,RS,****,10/05/2014,20:25:00,SIM,FINALIZADA,A-096/CENIPA/2014,SIM,2018-09-04,,
51464,51464,51464,51464,INCIDENTE,BARREIRAS,BA,SNBR,10/05/2014,13:40:00,***,FINALIZADA,***,NÃO,NULL,,
51465,51465,51465,51465,INCIDENTE,RECIFE,PE,SBRF,12/05/2014,02:00:00,***,FINALIZADA,***,NÃO,NULL,,
51448,51448,51448,51448,INCIDENTE GRAVE,SANTA INÊS,MA,SJBY,13/05/2014,13:55:00,SIM,FINALIZADA,IG-098/CENIPA/2014,SIM,2017-02-02,,
51449,51449,51449,51449,INCIDENTE GRAVE,SINOP,MT,SWSI,13/05/2014,15:50:00,SIM,FINALIZADA,IG-099/CENIPA/2014,SIM,2018-04-05,,
51471,51471,51471,51471,INCIDENTE,SANTARÉM,PA,SBSN,13/05/2014,11:43:00,***,FINALIZADA,***,NÃO,NULL,,
51452,51452,51452,51452,INCIDENTE,ARACAJU,SE,SBAR,14/05/2014,15:34:00,***,FINALIZADA,***,NÃO,NULL,,
51472,51472,51472,51472,INCIDENTE,SÃO PAULO,SP,SBMT,14/05/2014,20:20:00,***,FINALIZADA,***,NÃO,NULL,,
51473,51473,51473,51473,INCIDENTE,FORTALEZA,CE,SBFZ,14/05/2014,11:15:00,***,FINALIZADA,***,NÃO,NULL,,
51474,51474,51474,51474,INCIDENTE,RIO DE JANEIRO,RJ,SBJR,15/05/2014,13:48:00,***,FINALIZADA,***,NÃO,NULL,,
